drug_name,brand_name,dosage,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list
Aricept,['Aricept; Aricept ODT'],['5 mg'],5.0,34,100,Rx,C,N,,"['a heart rhythm disorde', 'a history of stomach ulcers', 'an enlarged prostate or urination problems', 'liver or kidney disease', 'epilepsy or other seizure disorde', 'trouble swallowing', 'asthma, chronic obstructive pulmonary disease (COPD), or other breathing disorde']",Alzheimer's
donepezil,['Aricept ; Aricept ODT'],['5 mg'],5.0,77,100,Rx,C,N,,"['a heart rhythm disorder such as ""sick sinus syndrome"" (slow heartbeats)', 'an enlarged prostate', 'urination problems', 'a seizure disorder such as epilepsy', 'a history of stomach ulcers', 'liver or kidney disease', 'trouble swallowing', 'asthma, chronic obstructive pulmonary disease (COPD), or another breathing disorde', 'are pregnant or intending to become pregnant', 'are breastfeeding']",Alzheimer's
memantine,['Namenda'],['10 mg'],5.0,64,100,Rx,B,N,,[None],Alzheimer's
Namenda,['Namenda; Namenda XR'],['5 mg'],5.2,26,100,Rx,B,N,,"['have or have had seizures or epilepsy', 'have liver disease', 'have kidney disease', 'have problems passing urine', 'have a bladder or kidney infection', 'are pregnant or plan to become pregnant', 'are breastfeeding or plan to breastfeed']",Alzheimer's
Leqembi,[None],['200 mg'],,,31,Rx,,N,,[None],Alzheimer's
lecanemab,['Leqembi'],['200 mg'],,,30,Rx,,N,,"['Check interactions', 'Compare alternatives', 'Side effects', 'Dosage information', 'During pregnancy', 'Drug class: miscellaneous central nervous system agents', 'En español']",Alzheimer's
Exelon,[None],['3 mg'],6.7,12,24,Rx,B,N,,"['an ulcer or stomach bleeding', 'a seizure', 'heart problems', 'liver or kidney disease', 'urination problems', 'asthma,chronic obstructive pulmonary disease(COPD), or other breathing disorde']",Alzheimer's
galantamine,['Reminyl ; Razadyne ; Razadyne ER'],['8 mg'],7.6,15,19,Rx,C,N,,"['urination problems', 'heart diseaseor a heart rhythm disorde', 'a history ofstomach ulceror bleeding', 'seizures or epilepsy', 'kidney disease', 'liver disease', 'a history of asthma or chronic obstructive pulmonary disease (COPD)']",Alzheimer's
Namenda XR,['Namenda ; Namenda XR'],['28 mg'],3.3,4,17,Rx,B,N,,"['epilepsyor other seizure disorde', 'liver disease', 'kidney disease', 'urination problems', 'a bladder or kidneyinfection']",Alzheimer's
rivastigmine,['Exelon'],['6 mg'],6.0,30,17,Rx,B,N,,"['an ulcer or stomach bleeding', 'a seizure', 'heart problems', 'liver or kidney disease', 'urination problems', 'asthma, chronic obstructive pulmonary disease (COPD), or other breathing disorde']",Alzheimer's
Aricept ODT,['Aricept ; Aricept ODT'],['5 mg'],5.0,2,10,Rx,C,N,,"['heart problems including fast, slow or uneven heart rate', 'astomach ulceror bleeding', 'urination problems', 'a planned surgery or procedure', 'asthma, chronic obstructive pulmonary disease (COPD),sleep apnea, or other breathing disorde', 'seizure orepilepsy', 'trouble swallowing tablets', 'liver or kidney disease']",Alzheimer's
Namzaric,[None],['10 mg'],8.8,6,10,Rx,C,N,,"['asthma or other breathing disorde', 'heart disease, or heart rhythm disorde', 'a history of seizures', 'stomach ulcer, or a history of stomach or intestinal bleeding', 'bladder obstruction or other urination problems', 'liver disease', 'kidney disease']",Alzheimer's
donepezil / memantine,['Namzaric ; Namzaric Titration Pack'],[None],7.7,7,9,Rx,C,N,,"['asthma or other breathing disorde', 'heart disease, or heart rhythm disorde', 'a history ofseizures', 'stomach ulcer, or a history of stomach or intestinal bleeding', 'bladder obstruction or other urination problems', 'liver disease', 'kidney disease']",Alzheimer's
vitamin e,['Aqua-E; Aqua-E Concentrate; Aquasol E ; Aquavite-E; Aqueous Vitamin E;'],[None],,,8,Rx/OTC,C,N,,"['bleeding problems', 'an eye disorder calledretinitis pigmentosa', 'avitamin K deficiency', 'diabetes', 'osteoporosis or low bone mineral density', 'heart disease', 'cance', 'a stroke', 'kidney disease']",Alzheimer's
Razadyne,['Razadyne; Razadyne ER'],['12 mg'],,,6,Rx,C,N,,"['urination problems', 'heart disease or a heart rhythm disorde', 'a history ofstomach ulceror bleeding', 'seizuresorepilepsy', 'kidney disease', 'liver disease', 'a history ofasthmaorchronic obstructive pulmonary disease(COPD)']",Alzheimer's
Razadyne ER,['Razadyne ; Razadyne ER; Razadyne IR'],['16 mg'],10,2,6,Rx,C,N,,[None],Alzheimer's
Adlarity,[None],['5 mg'],,,5,Rx,C,N,,[None],Alzheimer's
etanercept,['Enbrel'],['50 mg'],,,3,Rx,B,N,,"['a weak immune system, HIV or AIDS, tuberculosis, or any type of recurring infection', 'symptoms of an active infection such as fever, flu symptoms, diarrhea, or painful urination', 'an open cut or skin sores', 'diabetes', 'congestive heart failure', 'a history of nerve disorders such as multiple sclerosis, Guillain-Barré syndrome, myelitis, or optic neuritis', 'epilepsy or other seizure disorde', 'asthma or other breathing disorde', 'if you have ever had hepatitis B', 'if you are allergic to latex rubbe', 'if you are scheduled to receive any vaccines, or if you have recently been vaccinated with BCG (Bacille Calmette-Guerin)']",Alzheimer's
Alpha E,['Alpha-E; Aqua Gem-E ; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,2,Rx/OTC,C,N,,[None],Alzheimer's
ergoloid mesylates,['Hydergine ; Hydergine LC'],['1 mg'],,,2,Rx,N,N,,['a history of mental illness or psychosis'],Alzheimer's
Hydergine,[None],[None],,,2,Rx,N,N,,['a history of mental illness or psychosis'],Alzheimer's
aducanumab,['Aduhelm'],['170 mg'],,,1,Rx,,N,,"['Check interactions', 'Compare alternatives', 'Side effects', 'Dosage information', 'During pregnancy', 'Drug class: miscellaneous central nervous system agents', 'Breastfeeding', 'En español']",Alzheimer's
Aqua Gem-E,['Alpha-E; Aqua Gem-E; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
Aquasol E,['Alpha-E; Aqua Gem-E ; Aquasol E; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
E-400 Clear,['Alpha-E; Aqua Gem-E ; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
E-600,['Alpha-E; Aqua Gem-E ; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
E-Gems,['Alpha-E; Aqua Gem-E ; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
E Pherol,['Alph-E; Alph-E-Mixed; Alph-E-Mixed 1000; E-400; E-400-Clear;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
donanemab,['Kisunla'],['350 mg'],,,0,Rx,,N,,[None],Alzheimer's
Kisunla,[None],['350 mg'],,,0,Rx,,N,,[None],Alzheimer's
Zunveyl,[None],[None],,,0,Rx,,U,,[None],Alzheimer's
Adderall,['Adderall; Adderall XR ; Mydayis'],['30 mg'],7.2,405,95,Rx,C,2,X,"['glaucoma', 'overactive thyroid', 'severe anxiety or agitation (stimulant medicine can make these symptoms worse)', 'high blood pressure', 'heart disease or coronary artery disease', 'vascular disease or hardening of the arteries', 'a history of drug or alcohol addiction']",ADHD
Vyvanse,[None],['30 mg'],7.3,826,77,Rx,C,2,X,"['heart problems or a congenital heart defect', 'high blood pressure', 'a family history of heart disease or sudden death']",ADHD
Strattera,[None],['40 mg'],5.3,521,58,Rx,C,N,,"['severe heart or blood vessel problems', 'narrow-angle glaucoma', 'pheochromocytoma(tumor of the adrenal gland)']",ADHD
Adderall XR,['Adderall ; Adderall XR; Mydayis'],['30 mg'],7.9,214,52,Rx,C,2,X,"['an allergy to any stimulant medicine', 'high blood pressure, heart disease, coronary artery disease (hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
Concerta,[None],['36 mg'],6.8,400,40,Rx,C,2,X,"['glaucoma', 'severe high blood pressure or a heart problem', 'overactive thyroid', ""a personal or family history of tics (muscle twitches) orTourette's syndrome"", 'severeanxiety, tension, oragitation(stimulant medicine can make these symptoms worse)']",ADHD
