drug_name,brand_name,dosage_mg,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list,allergy_cleaned,disease_list_cleaned
aricept,aricept; aricept odt,5.0,5.0,34.0,80.0,rx,c,n,n,"'a heart rhythm disorde', 'a history of stomach ulcers', 'an enlarged prostate or urination problems', 'liver or kidney disease', 'epilepsy or other seizure disorde', 'trouble swallowing', 'asthma, chronic obstructive pulmonary disease (copd), or other breathing disorde'",alzheimer's,"heart rhythm disorde , history stomach ulcers , enlarged prostate urination problems , liver kidney disease , epilepsy seizure disorde , trouble swallowing , asthma , chronic obstructive pulmonary disease copd , breathing disorde",alzheimers
donepezil,aricept ; aricept odt,5.0,5.0,77.0,80.0,rx,c,n,n,"'a heart rhythm disorder such as ""sick sinus syndrome"" (slow heartbeats)', 'an enlarged prostate', 'urination problems', 'a seizure disorder such as epilepsy', 'a history of stomach ulcers', 'liver or kidney disease', 'trouble swallowing', 'asthma, chronic obstructive pulmonary disease (copd), or another breathing disorde', 'are pregnant or intending to become pregnant', 'are breastfeeding'",alzheimer's,"heart rhythm disorder sick sinus syndrome slow heartbeats , enlarged prostate , urination problems , seizure disorder epilepsy , history stomach ulcers , liver kidney disease , trouble swallowing , asthma , chronic obstructive pulmonary disease copd , another breathing disorde , pregnant intending become pregnant , breastfeeding",alzheimers
memantine,namenda,10.0,5.0,64.0,80.0,rx,b,n,n,none,alzheimer's,none,alzheimers
namenda,namenda; namenda xr,5.0,5.2,26.0,80.0,rx,b,n,n,"'have or have had seizures or epilepsy', 'have liver disease', 'have kidney disease', 'have problems passing urine', 'have a bladder or kidney infection', 'are pregnant or plan to become pregnant', 'are breastfeeding or plan to breastfeed'",alzheimer's,"seizures epilepsy , liver disease , kidney disease , problems passing urine , bladder kidney infection , pregnant plan become pregnant , breastfeeding plan breastfeed",alzheimers
leqembi,common,200.0,0.0,0.0,31.0,rx,unknown,n,n,none,alzheimer's,none,alzheimers
lecanemab,leqembi,200.0,0.0,0.0,30.0,rx,unknown,n,n,"'check interactions', 'compare alternatives', 'side effects', 'dosage information', 'during pregnancy', 'drug class: miscellaneous central nervous system agents', 'en español'",alzheimer's,"check interactions , compare alternatives , side effects , dosage information , pregnancy , drug class miscellaneous central nervous system agents , en español",alzheimers
exelon,common,3.0,6.7,12.0,24.0,rx,b,n,n,"'an ulcer or stomach bleeding', 'a seizure', 'heart problems', 'liver or kidney disease', 'urination problems', 'asthma,chronic obstructive pulmonary disease(copd), or other breathing disorde'",alzheimer's,"ulcer stomach bleeding , seizure , heart problems , liver kidney disease , urination problems , asthma , chronic obstructive pulmonary diseasecopd , breathing disorde",alzheimers
galantamine,reminyl ; razadyne ; razadyne er,8.0,7.6,15.0,19.0,rx,c,n,n,"'urination problems', 'heart diseaseor a heart rhythm disorde', 'a history ofstomach ulceror bleeding', 'seizures or epilepsy', 'kidney disease', 'liver disease', 'a history of asthma or chronic obstructive pulmonary disease (copd)'",alzheimer's,"urination problems , heart diseaseor heart rhythm disorde , history ofstomach ulceror bleeding , seizures epilepsy , kidney disease , liver disease , history asthma chronic obstructive pulmonary disease copd",alzheimers
namenda xr,namenda ; namenda xr,28.0,3.3,4.0,17.0,rx,b,n,n,"'epilepsyor other seizure disorde', 'liver disease', 'kidney disease', 'urination problems', 'a bladder or kidneyinfection'",alzheimer's,"epilepsyor seizure disorde , liver disease , kidney disease , urination problems , bladder kidneyinfection",alzheimers
rivastigmine,exelon,6.0,6.0,30.0,17.0,rx,b,n,n,"'an ulcer or stomach bleeding', 'a seizure', 'heart problems', 'liver or kidney disease', 'urination problems', 'asthma, chronic obstructive pulmonary disease (copd), or other breathing disorde'",alzheimer's,"ulcer stomach bleeding , seizure , heart problems , liver kidney disease , urination problems , asthma , chronic obstructive pulmonary disease copd , breathing disorde",alzheimers
aricept odt,aricept ; aricept odt,5.0,5.0,2.0,10.0,rx,c,n,n,"'heart problems including fast, slow or uneven heart rate', 'astomach ulceror bleeding', 'urination problems', 'a planned surgery or procedure', 'asthma, chronic obstructive pulmonary disease (copd),sleep apnea, or other breathing disorde', 'seizure orepilepsy', 'trouble swallowing tablets', 'liver or kidney disease'",alzheimer's,"heart problems including fast , slow uneven heart rate , astomach ulceror bleeding , urination problems , planned surgery procedure , asthma , chronic obstructive pulmonary disease copd , sleep apnea , breathing disorde , seizure orepilepsy , trouble swallowing tablets , liver kidney disease",alzheimers
namzaric,common,10.0,8.8,6.0,10.0,rx,c,n,n,"'asthma or other breathing disorde', 'heart disease, or heart rhythm disorde', 'a history of seizures', 'stomach ulcer, or a history of stomach or intestinal bleeding', 'bladder obstruction or other urination problems', 'liver disease', 'kidney disease'",alzheimer's,"asthma breathing disorde , heart disease , heart rhythm disorde , history seizures , stomach ulcer , history stomach intestinal bleeding , bladder obstruction urination problems , liver disease , kidney disease",alzheimers
donepezil / memantine,namzaric ; namzaric titration pack,0.0,7.7,7.0,9.0,rx,c,n,n,"'asthma or other breathing disorde', 'heart disease, or heart rhythm disorde', 'a history ofseizures', 'stomach ulcer, or a history of stomach or intestinal bleeding', 'bladder obstruction or other urination problems', 'liver disease', 'kidney disease'",alzheimer's,"asthma breathing disorde , heart disease , heart rhythm disorde , history ofseizures , stomach ulcer , history stomach intestinal bleeding , bladder obstruction urination problems , liver disease , kidney disease",alzheimers
